"county","county_ascii","county_full","state_name","population","age_median","income_household_median","income_individual_median","home_ownership","home_value","rent_median","rent_burden","education_less_highschool","education_highschool","highschool_or_less","education_some_college","education_bachelors","education_graduate","education_college_or_above","education_stem_degree","unemployment_rate","poverty","health_uninsured"
"Cattaraugus","Cattaraugus","Cattaraugus County","New York",77121,42,48703,26389,71.7,87710,655,30.4,11.2,39.2,50.40000057220459,30.6,10.3,8.8,19.1,39.7,5.5,16.5,6.9
"Ross","Ross","Ross County","Ohio",76948,41,51092,26545,70.9,124501,741,31.1,12.4,43,55.39999961853027,28.9,10.1,5.7,15.8,41.8,6.1,17.3,5.9
"Cole","Cole","Cole County","Missouri",76723,38.6,60066,33462,66.3,162211,661,21.3,7.7,29.7,37.40000057220459,29.3,21.5,11.8,33.3,37.1,3.6,10.3,8.2
"Yuba","Yuba","Yuba County","California",76360,32.8,58054,27877,60.5,248437,1002,32.8,17.7,23.6,41.30000114440918,41.6,12.2,4.8,17,43.8,7.2,15.5,7.2
"Lauderdale","Lauderdale","Lauderdale County","Mississippi",76279,37.8,42534,23061,64.5,100487,752,35.4,15.5,27.5,43,37.3,12.1,7.6,19.7,37.2,5.3,20.8,10.8
"Chelan","Chelan","Chelan County","Washington",76229,40.1,58795,28892,64.4,292665,909,26,17.4,26.4,43.79999923706055,30.5,15.6,10.1,25.7,48.7,3.9,11.7,9.5
"Bulloch","Bulloch","Bulloch County","Georgia",76120,28.8,45550,21375,53.9,135314,805,33.8,12.7,27.2,39.90000057220459,33.2,14.1,12.8,26.9,38.3,8,26.4,13.3
"Anderson","Anderson","Anderson County","Tennessee",76061,43.3,50392,26136,67.9,144448,750,29.9,13,32.9,45.900001525878906,30.8,12.6,10.6,23.2,53.8,6.1,16.7,9.4
"Cheshire","Cheshire","Cheshire County","New Hampshire",76042,43.1,64751,30044,69.4,194741,949,30.1,6.6,31.4,37.99999952316284,28.8,20.4,12.7,33.1,44,3.4,9,6.3
"Scioto","Scioto","Scioto County","Ohio",76040,39.9,41330,23011,67.6,98925,626,36.6,15.1,41.2,56.30000114440918,28,8.8,6.9,15.7,40.4,7.7,22.6,5.5
"Valencia","Valencia","Valencia County","New Mexico",76027,38.9,48945,24497,81.5,141577,876,28.9,15.5,33,48.5,32.9,10.8,7.7,18.5,40.3,7.5,16.9,8.2
"Hancock","Hancock","Hancock County","Ohio",75837,39.3,58450,31737,68.8,144527,768,26.1,7.5,36,43.5,29.4,16.3,10.7,27,39,3.6,10.8,4.1
"Monroe","Monroe","Monroe County","Florida",75798,47.7,70033,35539,59.5,497013,1627,37,8.6,26.7,35.30000114440918,30.3,21.5,12.9,34.4,42.4,2.9,10.9,18.2
"Clallam","Clallam","Clallam County","Washington",75392,50.8,52192,27638,70.4,253413,952,33.1,7.5,26.3,33.79999923706055,38.8,16.1,11.3,27.4,45.3,7.7,14.5,7.6
"Van Buren","Van Buren","Van Buren County","Michigan",75358,41.6,54485,27226,77,137324,705,28.4,12.9,31.3,44.19999885559082,34.1,14.3,7.5,21.8,37,5.7,14.9,8.1
"Coryell","Coryell","Coryell County","Texas",75280,31.8,52893,26408,57.9,113254,918,28.1,12,28.1,40.10000038146973,43.8,11.2,4.9,16.1,37.4,8,12.9,10.7
"Raleigh","Raleigh","Raleigh County","West Virginia",75252,42.2,43748,23997,73.4,106529,693,37,13.5,40,53.5,28.1,11.5,7,18.5,38.4,8.1,18.6,6.8
"Forrest","Forrest","Forrest County","Mississippi",75224,32.5,39840,20502,54.5,124230,773,36.7,12.6,27.2,39.80000114440918,32.4,16.5,11.3,27.8,41.9,8.1,26,13.9
"Hancock","Hancock","Hancock County","Indiana",75164,39.8,74072,37719,79.2,169161,895,23.9,7.1,32.7,39.80000066757202,29.3,21.8,9,30.8,37.2,2.5,6.7,6.3
"Sullivan","Sullivan","Sullivan County","New York",75116,42.8,57426,29887,68.3,172727,890,31,13.3,33.8,47.09999942779541,28.2,13.6,11.2,24.8,39.6,7.5,15.2,5.6
"Augusta","Augusta","Augusta County","Virginia",75079,45.1,62711,30889,79.3,213538,890,24.8,12.6,38.7,51.30000114440918,25.9,14.8,7.9,22.7,46.5,3.5,8.7,7.9
"Riley","Riley","Riley County","Kansas",75056,25.1,51208,23025,43.2,201317,946,32.1,4.2,19.1,23.300000190734863,31.1,25,20.6,45.6,49,5.8,22.4,5.9
"James City","James City","James City County","Virginia",74916,46.5,87678,38309,76.4,340481,1327,31.7,4.9,17.8,22.69999933242798,26.9,27.7,22.7,50.4,44.4,4.3,7.3,5.9
"Erie","Erie","Erie County","Ohio",74780,44.8,54226,29836,69.2,139840,756,26.5,8.2,37.2,45.40000057220459,31.4,14.6,8.6,23.2,37.8,5,11.7,4.7
"Somerset","Somerset","Somerset County","Pennsylvania",74361,46.1,49089,25627,78.1,105636,607,25.7,11.8,49.8,61.59999942779541,22.6,10.6,5.3,15.9,38.7,5.1,12.4,6.8
"Putnam","Putnam","Putnam County","Florida",73252,45.1,37670,21486,70.7,91712,728,33.6,18.2,41.2,59.400001525878906,28.3,7.8,4.5,12.3,43,8.7,23.6,16
"Wood","Wood","Wood County","Wisconsin",73112,44.1,54913,31081,72.4,132438,718,26.6,7.3,38,45.30000019073486,33,13.5,8.1,21.6,45,3.8,10.3,4.3
"Grays Harbor","Grays Harbor","Grays Harbor County","Washington",72779,44,51240,26117,67,181917,775,29,10.3,34,44.30000019073486,39.2,10.8,5.6,16.4,44.5,7.1,14.4,7.3
"Lonoke","Lonoke","Lonoke County","Arkansas",72528,36.2,59094,30896,69.2,138821,796,26.6,10.9,36.7,47.60000038146973,31.8,14.2,6.4,20.6,38.1,3.6,12.2,7.6
"McKinley","McKinley","McKinley County","New Mexico",72438,32.4,33834,17490,70.9,68458,672,27.4,22.8,34.4,57.20000076293945,31.4,6,5.5,11.5,47.7,14,34.8,19.9
"Walker","Walker","Walker County","Texas",72321,35.3,43742,26411,51.4,148041,908,38.6,14,39.9,53.900001525878906,25.4,14.4,6.4,20.8,37.6,3.3,22.4,13.3
"Pottawatomie","Pottawatomie","Pottawatomie County","Oklahoma",72154,37.7,49250,24983,69.5,120862,718,27.3,12,36.5,48.5,33.2,12,6.2,18.2,36.2,6,16.2,14.5
"Surry","Surry","Surry County","North Carolina",71971,44.1,43597,24505,73.5,125881,628,30.9,20.5,28.9,49.39999961853027,32.5,12.2,5.8,18,37.5,4,16.4,12.2
"Iberia","Iberia","Iberia Parish","Louisiana",71887,36.5,46861,24423,67.9,116450,768,32.3,20.1,43.7,63.80000114440918,22.7,9.6,3.9,13.5,39,9.3,22.1,11.1
"Kauai","Kauai","Kauai County","Hawaii",71769,42.6,83554,34697,63.2,570894,1375,29,7.5,30,37.5,33.3,20.1,9.1,29.2,44.6,3.8,8.1,5
"Apache","Apache","Apache County","Arizona",71511,35,32508,20596,78.9,66557,506,16.8,19.6,32.2,51.80000114440918,35.9,7.7,4.6,12.3,41.7,10.5,35.5,25.1
"Allegany","Allegany","Allegany County","Maryland",71445,41.7,45893,22555,68.8,120789,694,33.6,9.8,41.8,51.59999942779541,29.5,10.8,8.1,18.9,43.2,7.4,16.5,4.8
"Creek","Creek","Creek County","Oklahoma",71427,40.3,51318,27326,73.6,120222,797,29,12.6,40,52.60000038146973,30.4,11.7,5.2,16.9,35.4,3.8,15,12.1
"Christian","Christian","Christian County","Kentucky",71414,28.3,43919,26667,48.1,117486,854,29.3,14.4,31,45.39999961853027,36.4,10.6,7.5,18.1,36.9,7.4,19.6,8.7
"Chatham","Chatham","Chatham County","North Carolina",71338,46.7,67031,32024,76.4,276038,845,29,11.1,21.2,32.30000114440918,25.4,22.4,20,42.4,49.1,4.3,10.2,11.7
"DeKalb","DeKalb","DeKalb County","Alabama",71310,39.5,40440,21951,71.5,102979,628,31.2,25.2,34.2,59.400001525878906,27.6,7.8,5.2,13,34.5,4,21.1,13.7
"Madison","Madison","Madison County","New York",71205,41.9,61633,30568,77.4,135322,783,28.9,8,34.8,42.79999923706055,31,15,11.2,26.2,45,4,9.8,4.4
"Isabella","Isabella","Isabella County","Michigan",70688,28.1,45116,18007,62.1,133437,736,37.2,8.5,31.8,40.29999923706055,30.6,15.7,13.4,29.1,40.5,7.1,26,8.4
"Portage","Portage","Portage County","Wisconsin",70632,37,58853,29393,69,168009,776,28.1,6.1,31.9,37.99999952316284,29.1,22.9,10,32.9,45.4,3.3,12.1,4.7
"Franklin","Franklin","Franklin County","Massachusetts",70577,46.7,60950,31875,68.6,232174,976,35.9,6.7,28.5,35.19999980926514,27.5,20.4,16.9,37.3,45.9,4.9,9.7,2.1
"Greenwood","Greenwood","Greenwood County","South Carolina",70411,39.5,42336,23996,64,120540,733,31.1,14.8,30.5,45.30000019073486,30.1,16,8.6,24.6,39.4,6.9,20.8,11.8
"Robertson","Robertson","Robertson County","Tennessee",70280,39,63307,31153,74,194791,894,28,12.8,38.1,50.89999866485596,29.5,13.8,5.8,19.6,40.5,4.9,11.5,8.6
"Lea","Lea","Lea County","New Mexico",70277,31.8,60546,28748,66.8,127892,895,24,25.7,31.5,57.20000076293945,29.2,8.4,5.2,13.6,39,6.3,15.8,13
"Grand Forks","Grand Forks","Grand Forks County","North Dakota",70224,29.7,54051,30264,48.5,206497,824,30.8,4.9,22.2,27.100000858306885,37.3,22.9,12.7,35.6,44.9,3.8,16.2,6.3
